x,Curve1
0.09752,0.0051
0.15206,-0.0068
0.20043,0.0076
0.26268,-0.0143
0.30128,-0.0061
0.3476,0.0088
0.37342,0.17
0.38948,0.3582
0.40143,0.5557
0.41083,0.7955
0.41919,1.0188
0.42808,1.2754
0.43701,1.5819
0.4454,1.8636
0.45379,2.1369
0.46114,2.3855
0.46847,2.6173
0.47738,2.8906
0.48573,3.0972
0.49564,3.3368
0.50708,3.5511
0.51436,3.6746
0.52886,3.8466
0.53972,3.9359
0.55415,3.9745
0.57268,3.9787
0.58654,3.9173
0.59986,3.8144
0.61471,3.6944
0.63005,3.5326
0.64386,3.3712
0.66073,3.1924
0.68016,2.9713
0.69754,2.7674
0.72566,2.4444
0.7497,2.1974
0.79066,1.8299
0.83061,1.5126
0.86599,1.2964
0.8983,1.106
0.945,0.8873
0.97325,0.7977
0.99946,0.7336
